station_id,latitude,longitude,upstream_pfas_facility_count,nearest_pfas_facility_km,watershed_area_km2,pct_urban,mean_annual_flow_m3s,stream_order,month,water_pfas_ng_l,huc8,sample_date,year,n_congeners,segment_id
21NYDECA_WQX-1989,43.910741,-75.366559,0,209.06,237.3,11.6,23.73,4,9,10.13,4150101.0,2022-09-13,2022,5,seg_000085
21NYDECA_WQX-1990,43.80832,-74.851371,0,168.55,200.7,11.1,20.07,4,9,1.26,4150101.0,2022-09-14,2022,4,seg_000086
21NYDECA_WQX-20002,40.82375,-73.12,0,106.52,4725.2,8.5,472.52,7,6,21.54,2030202.0,2023-06-14,2023,5,seg_000087
21NYDECA_WQX-20125,41.2385,-74.208666,2,30.93,5501.2,7.3,550.12,7,9,7.32,2030103.0,2022-09-14,2022,4,seg_000088
21NYDECA_WQX-20678,41.32163,-73.723297,2,32.05,5527.0,7.3,552.7,7,9,12.71,2030101.0,2022-09-12,2022,5,seg_000089
21NYDECA_WQX-20714,41.61086,-73.662906,2,34.12,5523.4,7.3,552.34,7,8,3.9,2020008.0,2022-08-01,2022,4,seg_000090
21NYDECA_WQX-21177,41.40312,-74.35136,2,23.91,5533.9,7.3,553.39,7,9,11.17,2020007.0,2022-09-12,2022,5,seg_000091
21NYDECA_WQX-21363,42.199458,-74.037409,0,77.49,5025.9,8.1,502.59,7,8,2.0,2020006.0,2022-08-03,2022,4,seg_000092
21NYDECA_WQX-21448,41.866177,-73.643526,0,53.39,5315.1,7.6,531.51,7,8,3.88,2020008.0,2022-08-02,2022,5,seg_000093
21NYDECA_WQX-21995,41.456872,-74.209703,2,10.68,5674.4,7.1,567.44,7,9,12.05,2020008.0,2022-09-12,2022,5,seg_000094
21NYDECA_WQX-22402,42.535344,-73.57948,1,49.39,92.7,9.7,9.27,4,8,4.27,2020006.0,2022-08-30,2022,4,seg_000095
21NYDECA_WQX-22466,41.84765,-74.03964,2,38.52,5444.8,7.4,544.48,7,8,8.32,2020007.0,2022-08-24,2022,5,seg_000096
21NYDECA_WQX-22815,42.062001,-73.79438,0,66.96,5163.2,7.9,516.32,7,8,2.19,2020006.0,2022-08-03,2022,4,seg_000097
21NYDECA_WQX-22989,40.709267,-73.549912,0,95.66,4830.8,8.4,483.08,7,9,15.2,2030202.0,2023-09-12,2023,5,seg_000098
21NYDECA_WQX-23567,41.1728,-73.69329,2,45.27,5377.8,7.5,537.78,7,9,6.52,1100006.0,2023-09-05,2023,3,seg_000099
21NYDECA_WQX-23578,41.076027,-73.755096,0,51.45,5305.4,7.6,530.54,7,6,10.35,2030102.0,2023-06-13,2023,4,seg_000100
21NYDECA_WQX-23595,40.961554,-73.851563,0,60.47,5202.6,7.8,520.26,7,6,20.81,2030102.0,2023-06-13,2023,5,seg_000101
21NYDECA_WQX-23598,41.067122,-72.454276,0,140.34,4374.0,9.1,437.4,7,6,7.74,2030201.0,2023-06-14,2023,5,seg_000102
21NYDECA_WQX-23603,41.166716,-73.604539,0,50.78,5321.9,7.6,532.19,7,9,8.84,1100006.0,2023-09-06,2023,3,seg_000103
21NYDECA_WQX-2384,43.937194,-75.50738,0,220.2,247.3,11.7,24.73,4,9,4.13,4150101.0,2022-09-13,2022,4,seg_000104
21NYDECA_WQX-2387,43.67705,-75.34291,0,194.72,224.2,11.4,22.42,4,9,0.16,4150101.0,2022-09-14,2022,1,seg_000105
21NYDECA_WQX-2390,43.4507,-75.014745,0,160.26,193.0,11.0,19.3,4,9,1.58,4150101.0,2022-09-15,2022,4,seg_000106
21NYDECA_WQX-23906,42.663935,-74.972214,0,147.08,180.7,10.8,18.07,4,8,1.0,2050101.0,2023-08-22,2023,1,seg_000107
21NYDECA_WQX-23908,42.720039,-75.5749,0,182.0,3852.6,9.9,385.26,7,8,1.1,2050102.0,2023-08-24,2023,1,seg_000108
21NYDECA_WQX-23919,42.792627,-75.509664,0,184.59,218.6,11.3,21.86,4,8,1.8,2050102.0,2023-08-24,2023,1,seg_000109
21NYDECA_WQX-23921,42.678413,-76.133137,0,212.72,3514.8,10.4,351.48,7,8,5.0,2050102.0,2023-08-23,2023,2,seg_000110
21NYDECA_WQX-23933,44.949294,-73.672083,0,232.46,258.9,11.9,25.89,4,7,4.4,4150408.0,2023-07-25,2023,2,seg_000111
21NYDECA_WQX-23934,44.865434,-73.785154,0,225.0,252.1,11.8,25.21,4,7,6.4,4150408.0,2023-07-25,2023,3,seg_000112
21NYDECA_WQX-23937,43.365348,-73.291258,0,53.75,97.4,9.7,9.74,4,7,0.9,4150401.0,2023-07-27,2023,1,seg_000113
21NYDECA_WQX-23940,44.844814,-73.470674,0,218.81,246.6,11.7,24.66,4,7,31.8,4150408.0,2023-07-25,2023,3,seg_000114
21NYDECA_WQX-23998,41.051564,-73.706977,0,55.76,5260.5,7.7,526.05,7,9,12.67,1100006.0,2023-09-26,2023,4,seg_000115
21NYDECA_WQX-24002,41.129957,-73.736942,1,46.99,5355.7,7.6,535.57,7,9,26.6,2030102.0,2023-09-26,2023,3,seg_000116
21NYDECA_WQX-24004,41.212253,-73.567258,1,49.77,5336.0,7.6,533.6,7,9,9.6,1100006.0,2023-09-26,2023,3,seg_000117
